Make,Chevrolet,,Make,Toyota,,"Ho: ?1 - ?2 = 0
Ha: ?1 - ?2 ? 0",,,,,,
,,,,,,,,,,,,
Row Labels,Sum of Annual Fuel Cost (FT1),,Row Labels,Sum of Annual Fuel Cost (FT1),,,,,,,,
2532,"$1,650",,7351,"$1,950",,,,,,,,
2533,"$1,650",,7352,"$2,200",,,,,,,,
2534,"$2,200",,7432,"$2,900",,,,,,,,
2535,"$2,050",,7433,"$2,200",,,,,,,,
2536,"$1,950",,7434,"$1,950",,,,,,,,
2603,"$1,750",,7435,"$2,350",,,,,,,,
2604,"$1,750",,7436,"$2,350",,,,,,,,
2605,"$1,600",,7443,"$3,500",,,,,,,,
2606,"$2,050",,7444,"$3,200",,,,,,,,
2607,"$1,950",,7494,"$2,100",,,,,,,,
2608,"$1,950",,7495,"$1,600",,,,,,,,
2609,"$2,200",,7496,"$1,600",,,,,,,,
2610,"$2,350",,7514,"$1,500",,,,,,,,
2611,"$2,050",,7515,"$1,600",,,,,,,,
2612,"$2,350",,7718,"$1,400",,,,,,,,
2613,"$2,050",,7719,"$1,350",,,,,,,,
2614,"$2,200",,7720,"$2,250",,,,,,,,
2615,"$2,050",,7721,"$1,600",,,,,,,,
2616,"$2,350",,7722,"$1,500",,,,,,,,
2617,"$2,350",,7723,"$1,600",,,,,,,,
2618,"$2,350",,7724,"$1,450",,,,,,,,
2619,"$2,350",,7725,"$1,400",,,,,,,,
2620,"$2,350",,7726,"$1,700",,,,,,,,
2621,"$2,050",,7727,"$1,350",,,,,,,,
2622,"$2,050",,7728,"$2,350",,,,,,,,
2623,"$2,200",,7729,"$2,350",,,,,,,,
2624,"$2,350",,7730,"$2,350",,,,,,,,
2677,"$1,750",,7731,"$2,350",,,,,,,,
2678,"$1,750",,7732,"$1,450",,,,,,,,
2679,"$1,600",,7733,"$1,150",,,,,,,,
2680,"$2,050",,7734,"$1,250",,,,,,,,
2681,"$2,050",,7886,"$1,450",,,,,,,,
2682,"$2,050",,7887,"$1,750",,,,,,,,
2683,"$2,350",,7888,"$1,450",,,,,,,,
2684,"$2,200",,7889,"$1,350",,,,,,,,
2685,"$2,350",,7890,"$1,850",,,,,,,,
2686,"$2,350",,7891,"$1,850",,,,,,,,
2687,"$2,500",,7892,"$2,250",,,,,,,,
2688,"$2,900",,8065,"$1,450",,,,,,,,
2689,"$2,500",,8066,"$1,850",,,,,,,,
2690,"$2,700",,8067,"$1,500",,,,,,,,
2691,"$2,700",,8068,"$1,650",,,,,,,,
2692,"$2,150",,8069,"$1,450",,,,,,,,
2693,"$2,250",,8070,"$1,350",,,,,,,,
2694,"$3,200",,8243,"$1,750",,,,,,,,
2695,"$3,200",,8244,"$1,650",,,,,,,,
2742,"$2,500",,8245,"$1,950",,,,,,,,
